urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
405,60,"534,013",20514344,SMAN 1 TALUN More..,Jawa Timur,Kab. Blitar,SMA
406,71,"533,964",20219243,SMAN 11 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
407,72,"533,911",69822684,SMAS DARUL HIKAM INTERNASIONAL More..,Jawa Barat,Kab. Bandung Barat,SMA
408,35,"533,897",20404171,SMAS IT ABU BAKAR More..,DI Yogyakarta,Kota Yogyakarta,SMA
409,61,"533,891",20501702,SMAN 2 SIDOARJO More..,Jawa Timur,Kab. Sidoarjo,SMA
410,73,"533,837",20222364,SMAN 1 CIREBON More..,Jawa Barat,Kota Cirebon,SMA
411,2,"533,812",40102411,SMA MANADO INDEPENDENT SCHOOL More..,Sulawesi Utara,Kab. Minahasa Utara,SMA
412,29,"533,797",69982590,SMA AL WILDAN ISLAMIC SCHOOL More..,Banten,Kab. Tangerang,SMA
413,2,"533,77",30401067,SMA Negeri 10 Samarinda More..,Kalimantan Timur,Kota Samarinda,SMA
414,71,"533,708",20362982,MAS TAHFIZHUL QUR`AN More..,Jawa Tengah,Kab. Karanganyar,MA 
415,72,"533,697",20308448,SMAN 3 BOYOLALI More..,Jawa Tengah,Kab. Boyolali,SMA
416,74,"533,627",20246730,SMAS GLOBAL PRESTASI More..,Jawa Barat,Kota Bekasi,SMA
417,4,"533,445",40307369,SMAS KATOLIK RAJAWALI More..,Sulawesi Selatan,Kota Makassar,SMA
418,75,"533,388",20229167,SMAN 5 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
419,62,"533,29",20523847,SMAN 2 JEMBER More..,Jawa Timur,Kab. Jember,SMA
420,5,"533,265",11000360,SMAN 1 BATAM More..,Kepulauan Riau,Kota Batam,SMA
421,76,"533,255",20227474,SMAN 1 GARUT More..,Jawa Barat,Kab. Garut,SMA
422,36,"533,24",20411891,MAN 3 SLEMAN More..,DI Yogyakarta,Kab. Sleman,MA 
423,73,"533,233",20103281,SMAN 31 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
424,77,"533,187",20206209,SMAN 1 MARGAHAYU More..,Jawa Barat,Kab. Bandung,SMA
425,73,"532,937",20310421,SMAN 3 SUKOHARJO More..,Jawa Tengah,Kab. Sukoharjo,SMA
426,6,"532,93",50103127,SMAN 1 DENPASAR More..,Bali,Kota Denpasar,SMA
427,7,"532,92",50102779,SMAN 2 AMLAPURA More..,Bali,Kab. Karang Asem,SMA
428,78,"532,884",20253167,SMAS ISLAM AL-AZHAR 4 More..,Jawa Barat,Kota Bekasi,SMA
429,74,"532,841",20327972,SMAN 7 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
430,79,"532,84",20220334,SMAN 4 BOGOR More..,Jawa Barat,Kota Bogor,SMA
431,3,"532,747",30401809,SMAS YAYASAN PUPUK KALTIM BONTANG More..,Kalimantan Timur,Kota Bontang,SMA
432,75,"532,727",20309684,SMAN 1 CAWAS More..,Jawa Tengah,Kab. Klaten,SMA
433,30,"532,699",20603347,SMAS KATOLIK RICCI II More..,Banten,Kota Tangerang Selatan,SMA
434,76,"532,582",20320392,SMA SEDES SAPIENTIAE JAMBU More..,Jawa Tengah,Kab. Semarang,SMA
