data_key,urut_nasional,npsn,sekolah,provinsi,rerata,tertinggi,terendah,std_deviasi,jenis
2061,61,20580050,MAN 2 KOTA MALANG More..,Jawa Timur,"569,116","653,183","463,013","39,8",MA 
2062,62,20523844,SMAN 1 JEMBER More..,Jawa Timur,"568,997","657,398","447,745","35,49",SMA
2063,63,20606507,SMAS UPH COLEGE More..,Banten,"568,948","639,613","443,908","38,43",SMA
2064,64,20403180,SMAN 5 YOGYAKARTA More..,DI Yogyakarta,"568,833","657,99","481,54","31,72",SMA
2065,65,20100603,SMAS KRISTEN YUSUF More..,DKI Jakarta,"568,783","624,578","497,348","31,42",SMA
2066,66,20219728,SMAS BPK 2 PENABUR More..,Jawa Barat,"568,477","662,103","479,185","33,61",SMA
2067,67,20606853,SMAN 1 TANGERANG More..,Banten,"568,445","663,408","435,513","39,33",SMA
2068,68,20104424,SMAS KRISTEN IPEKA TOMANG More..,DKI Jakarta,"568,185","648,145","473,19","50,03",SMA
2069,69,20501706,SMAN 1 SIDOARJO More..,Jawa Timur,"568,181","658,918","443,898","39,07",SMA
2070,70,20102218,SMAN 26 JAKARTA More..,DKI Jakarta,"568,055","643,668","459,855","35,11",SMA
2071,71,20223020,SMAN 1 BEKASI More..,Jawa Barat,"567,88","649,868","407,148","43,27",SMA
2072,72,20614920,SMA BINA NUSANTARA SERPONG More..,Banten,"567,455","632,378","512,265","32,94",SMA
2073,73,10303611,SMAN 1 PADANG PANJANG More..,Sumatera Barat,"567,442","628,16","470,515","30,17",SMA
2074,74,60724799,SMAS DARMA YUDHA More..,Riau,"567,388","642,878","483,663","46,56",SMA
2075,75,20306202,SMAN 1 PURWOREJO More..,Jawa Tengah,"567,344","655,28","463,9","34,3",SMA
2076,76,10310903,SMAN 1 SUMATERA BARAT More..,Sumatera Barat,"567,324","639,74","441,058","42,92",SMA
2077,77,20309676,SMAN 1 KLATEN More..,Jawa Tengah,"567,303","657,055","458,18","32,98",SMA
2078,78,20107304,SMAS ISLAM AL-AZHAR 1 JAKARTA More..,DKI Jakarta,"566,849","644,418","454,588","40,1",SMA
2079,79,20103228,SMAS KRISTEN 7 BPK PENABUR JAKARTA More..,DKI Jakarta,"566,385","635,478","475,253","37,58",SMA
2080,80,20223819,SMAN 1 KOTA DEPOK More..,Jawa Barat,"566,208","659,1","441,123","46,76",SMA
2081,81,20305010,SMAN 1 KEBUMEN More..,Jawa Tengah,"565,842","659,738","455,383","35,65",SMA
2082,82,20500479,SMAN 1 GRESIK More..,Jawa Timur,"565,837","671,2","434,45","37,93",SMA
2083,83,69873999,SMA KRISTEN PENABUR KOTA WISATA More..,Jawa Barat,"565,803","635,585","449,665","40,63",SMA
