data_key,detail,urut_nasional,urut_provinsi,rerata,nilai_tertinggi,nilai_terendah,standar_deviasi
2231,Kemampuan Kuantitatif,199,31,567.393,702.32,379.25,72.97
2231,Kemampuan Memahami Bacaan dan Menulis,245,40,548.066,705.0,371.31,60.02
2231,Kemampuan Penalaran Umum,312,53,532.837,631.03,406.36,40.75
2231,Pengetahuan dan Pemahaman Umum,251,44,539.046,727.77,362.54,59.21
2232,Kemampuan Kuantitatif,220,49,564.361,715.85,376.11,65.89
2232,Kemampuan Memahami Bacaan dan Menulis,281,59,544.326,681.89,362.7,58.55
2232,Kemampuan Penalaran Umum,232,52,538.431,624.17,421.31,38.16
2232,Pengetahuan dan Pemahaman Umum,240,57,540.013,654.09,400.36,51.71
2233,Kemampuan Kuantitatif,203,1,566.213,706.48,400.82,86.05
2233,Kemampuan Memahami Bacaan dan Menulis,276,3,544.783,660.43,382.84,59.43
2233,Kemampuan Penalaran Umum,213,2,539.486,631.61,435.88,53.04
2233,Pengetahuan dan Pemahaman Umum,287,2,536.543,688.73,399.65,67.76
2234,Kemampuan Kuantitatif,237,40,561.034,707.03,417.81,73.19
2234,Kemampuan Memahami Bacaan dan Menulis,185,30,554.417,660.86,441.58,51.26
2234,Kemampuan Penalaran Umum,280,47,534.731,607.03,436.84,46.19
2234,Pengetahuan dan Pemahaman Umum,284,51,536.709,638.51,420.64,54.75
2235,Kemampuan Kuantitatif,160,23,573.581,688.22,390.26,74.14
2235,Kemampuan Memahami Bacaan dan Menulis,179,32,554.913,628.17,401.6,56.66
2235,Kemampuan Penalaran Umum,612,125,519.897,606.06,421.09,43.14
2235,Pengetahuan dan Pemahaman Umum,259,43,538.447,625.3,440.48,53.79
2236,Kemampuan Kuantitatif,247,52,560.039,703.71,380.47,74.0
2236,Kemampuan Memahami Bacaan dan Menulis,288,60,543.775,723.84,347.25,60.24
2236,Kemampuan Penalaran Umum,236,53,537.908,625.66,409.9,38.75
2236,Pengetahuan dan Pemahaman Umum,184,48,544.766,676.52,362.96,58.02
2237,Kemampuan Kuantitatif,219,4,564.41,704.18,360.68,74.24
2237,Kemampuan Memahami Bacaan dan Menulis,394,3,537.741,677.95,328.15,66.33
2237,Kemampuan Penalaran Umum,278,3,534.803,618.05,413.53,42.8
2237,Pengetahuan dan Pemahaman Umum,133,3,549.478,674.59,390.19,51.37
2238,Kemampuan Kuantitatif,191,29,569.409,712.39,397.28,75.37
2238,Kemampuan Memahami Bacaan dan Menulis,247,46,547.877,689.36,370.08,59.54
2238,Kemampuan Penalaran Umum,308,57,532.959,618.38,409.79,41.73
2238,Pengetahuan dan Pemahaman Umum,325,58,534.236,662.97,367.0,63.87
2239,Kemampuan Kuantitatif,182,4,570.208,708.0,408.31,81.36
2239,Kemampuan Memahami Bacaan dan Menulis,318,5,542.471,637.04,436.34,61.46
2239,Kemampuan Penalaran Umum,221,4,538.979,658.37,449.0,47.68
2239,Pengetahuan dan Pemahaman Umum,373,4,532.089,641.52,393.7,69.86
2240,Kemampuan Kuantitatif,256,19,559.396,714.15,376.11,73.65
2240,Kemampuan Memahami Bacaan dan Menulis,293,22,543.57,680.63,361.84,61.73
2240,Kemampuan Penalaran Umum,246,18,537.37,627.65,436.16,43.45
2240,Pengetahuan dan Pemahaman Umum,199,18,543.293,691.88,390.6,62.29
2241,Kemampuan Kuantitatif,174,15,571.739,710.8,396.48,79.35
2241,Kemampuan Memahami Bacaan dan Menulis,178,16,555.004,657.92,411.11,60.51
2241,Kemampuan Penalaran Umum,335,23,532.009,614.77,460.54,33.12
2241,Pengetahuan dan Pemahaman Umum,551,36,523.905,620.25,408.45,57.76
2242,Kemampuan Kuantitatif,286,48,554.442,697.64,391.9,70.11
2242,Kemampuan Memahami Bacaan dan Menulis,253,43,547.291,678.42,380.5,53.45
2242,Kemampuan Penalaran Umum,212,37,539.508,625.05,439.97,37.82
2242,Pengetahuan dan Pemahaman Umum,229,37,541.028,696.02,350.73,59.85
2243,Kemampuan Kuantitatif,338,54,548.613,712.68,363.23,76.52
2243,Kemampuan Memahami Bacaan dan Menulis,189,34,554.127,670.55,368.19,56.74
2243,Kemampuan Penalaran Umum,185,31,542.893,625.12,420.86,39.74
2243,Pengetahuan dan Pemahaman Umum,285,47,536.574,667.66,388.96,64.13
2244,Kemampuan Kuantitatif,275,57,555.03,707.68,377.1,68.79
2244,Kemampuan Memahami Bacaan dan Menulis,257,57,547.143,679.86,377.52,57.49
2244,Kemampuan Penalaran Umum,264,56,535.534,619.89,407.8,38.26
2244,Pengetahuan dan Pemahaman Umum,188,50,544.229,672.29,384.87,54.55
2245,Kemampuan Kuantitatif,225,5,563.062,709.73,396.67,74.03
2245,Kemampuan Memahami Bacaan dan Menulis,279,4,544.383,648.81,370.55,56.13
2245,Kemampuan Penalaran Umum,188,2,542.595,618.76,412.73,41.87
2245,Pengetahuan dan Pemahaman Umum,382,5,531.816,657.75,355.06,65.24
2246,Kemampuan Kuantitatif,287,43,554.435,710.76,375.07,80.77
2246,Kemampuan Memahami Bacaan dan Menulis,422,73,536.456,697.09,380.48,68.51
2246,Kemampuan Penalaran Umum,153,25,545.743,659.26,425.72,55.56
2246,Pengetahuan dan Pemahaman Umum,180,30,544.958,715.0,391.44,70.95
2247,Kemampuan Kuantitatif,358,68,546.62,712.7,385.06,70.93
2247,Kemampuan Memahami Bacaan dan Menulis,243,55,548.19,686.86,391.65,58.47
2247,Kemampuan Penalaran Umum,168,45,544.271,616.52,454.61,33.07
2247,Pengetahuan dan Pemahaman Umum,212,54,542.453,650.77,436.8,52.6
2248,Kemampuan Kuantitatif,246,45,560.141,703.93,413.76,62.79
2248,Kemampuan Memahami Bacaan dan Menulis,225,36,549.481,657.64,406.09,47.79
2248,Kemampuan Penalaran Umum,304,51,533.129,632.27,401.59,38.08
2248,Pengetahuan dan Pemahaman Umum,267,47,538.092,664.95,398.82,52.72
2249,Kemampuan Kuantitatif,263,33,557.67,712.07,378.9,69.13
2249,Kemampuan Memahami Bacaan dan Menulis,214,28,550.734,690.82,390.79,54.57
2249,Kemampuan Penalaran Umum,250,36,537.058,625.0,418.41,41.31
2249,Pengetahuan dan Pemahaman Umum,310,44,535.198,700.27,364.15,62.13
2250,Kemampuan Kuantitatif,270,56,556.366,706.32,397.29,78.13
2250,Kemampuan Memahami Bacaan dan Menulis,238,53,548.735,647.14,464.27,49.43
2250,Kemampuan Penalaran Umum,197,48,540.957,582.69,479.42,28.69
2250,Pengetahuan dan Pemahaman Umum,333,68,533.817,623.98,391.72,62.16
2251,Kemampuan Kuantitatif,381,25,543.848,654.06,415.38,61.64
2251,Kemampuan Memahami Bacaan dan Menulis,343,28,540.93,671.73,408.31,63.15
2251,Kemampuan Penalaran Umum,106,13,550.492,627.75,486.23,37.2
2251,Pengetahuan dan Pemahaman Umum,189,17,544.133,650.61,358.07,74.0
2252,Kemampuan Kuantitatif,259,32,559.05,717.36,387.5,70.92
2252,Kemampuan Memahami Bacaan dan Menulis,251,32,547.401,673.2,384.82,57.33
2252,Kemampuan Penalaran Umum,252,37,536.682,621.11,415.35,38.45
2252,Pengetahuan dan Pemahaman Umum,294,42,536.262,662.38,365.67,60.26
2253,Kemampuan Kuantitatif,244,43,560.285,706.32,386.35,65.45
2253,Kemampuan Memahami Bacaan dan Menulis,371,66,539.283,671.66,387.23,53.37
2253,Kemampuan Penalaran Umum,260,45,535.834,625.86,428.14,38.99
2253,Pengetahuan dan Pemahaman Umum,190,30,543.962,675.85,376.38,50.45
2254,Kemampuan Kuantitatif,245,44,560.264,715.64,368.34,68.58
2254,Kemampuan Memahami Bacaan dan Menulis,311,56,542.989,698.92,340.89,57.09
2254,Kemampuan Penalaran Umum,282,48,534.584,628.23,435.59,38.56
2254,Pengetahuan dan Pemahaman Umum,227,36,541.171,660.21,357.86,58.54
2255,Kemampuan Kuantitatif,405,6,542.295,692.1,381.67,84.82
2255,Kemampuan Memahami Bacaan dan Menulis,176,3,555.379,664.48,484.91,50.35
2255,Kemampuan Penalaran Umum,448,7,526.827,611.8,440.55,46.34
2255,Pengetahuan dan Pemahaman Umum,93,1,553.983,621.93,472.12,42.06
2256,Kemampuan Kuantitatif,231,17,562.35,686.29,357.48,76.68
2256,Kemampuan Memahami Bacaan dan Menulis,367,31,539.505,652.36,385.5,65.51
2256,Kemampuan Penalaran Umum,288,22,534.257,609.28,438.19,45.06
2256,Pengetahuan dan Pemahaman Umum,215,19,542.093,661.5,382.8,65.53
2257,Kemampuan Kuantitatif,258,9,559.084,696.87,409.23,58.29
2257,Kemampuan Memahami Bacaan dan Menulis,317,7,542.56,662.43,390.73,55.11
2257,Kemampuan Penalaran Umum,310,9,532.909,620.28,447.96,37.72
2257,Pengetahuan dan Pemahaman Umum,194,6,543.527,644.32,404.4,60.92
2258,Kemampuan Kuantitatif,198,30,567.55,713.64,371.83,78.51
2258,Kemampuan Memahami Bacaan dan Menulis,473,88,534.318,681.3,337.16,69.1
2258,Kemampuan Penalaran Umum,251,44,537.052,631.11,398.88,42.98
2258,Pengetahuan dan Pemahaman Umum,252,41,538.99,741.32,345.93,60.16
2259,Kemampuan Kuantitatif,229,37,562.504,707.72,380.47,75.84
2259,Kemampuan Memahami Bacaan dan Menulis,310,51,543.033,704.7,347.32,67.6
2259,Kemampuan Penalaran Umum,290,49,534.017,635.03,382.35,43.42
2259,Pengetahuan dan Pemahaman Umum,264,45,538.208,655.73,353.92,63.04
2260,Kemampuan Kuantitatif,322,49,550.526,708.61,392.84,70.02
2260,Kemampuan Memahami Bacaan dan Menulis,244,45,548.101,678.2,378.01,57.28
2260,Kemampuan Penalaran Umum,243,43,537.591,624.63,415.13,42.62
2260,Pengetahuan dan Pemahaman Umum,226,37,541.48,721.68,354.58,61.07
2261,Kemampuan Kuantitatif,268,41,556.859,715.36,360.91,70.76
2261,Kemampuan Memahami Bacaan dan Menulis,351,58,540.439,668.87,360.3,60.95
2261,Kemampuan Penalaran Umum,262,45,535.724,632.26,408.7,43.44
2261,Pengetahuan dan Pemahaman Umum,198,32,543.294,694.79,350.42,63.37
2262,Kemampuan Kuantitatif,265,23,557.06,697.92,391.9,67.96
2262,Kemampuan Memahami Bacaan dan Menulis,208,24,551.407,674.55,411.74,50.73
2262,Kemampuan Penalaran Umum,309,28,532.944,637.7,437.43,34.02
2262,Pengetahuan dan Pemahaman Umum,318,24,534.495,664.23,372.04,50.82
2263,Kemampuan Kuantitatif,298,59,553.825,716.08,370.87,67.0
2263,Kemampuan Memahami Bacaan dan Menulis,224,49,549.482,702.8,341.96,54.55
2263,Kemampuan Penalaran Umum,331,66,532.193,621.73,421.25,35.75
2263,Pengetahuan dan Pemahaman Umum,236,56,540.21,651.36,387.2,54.93
2264,Kemampuan Kuantitatif,269,3,556.574,706.42,382.25,70.43
2264,Kemampuan Memahami Bacaan dan Menulis,237,4,548.845,687.53,394.59,57.69
2264,Kemampuan Penalaran Umum,218,3,539.108,629.85,393.35,42.48
2264,Pengetahuan dan Pemahaman Umum,401,6,531.081,654.16,364.57,63.91
2265,Kemampuan Kuantitatif,274,5,555.168,701.46,379.33,76.7
2265,Kemampuan Memahami Bacaan dan Menulis,256,4,547.2,684.32,397.61,58.16
2265,Kemampuan Penalaran Umum,362,5,531.022,625.39,430.76,43.02
2265,Pengetahuan dan Pemahaman Umum,214,3,542.215,663.99,407.44,60.74
2266,Kemampuan Kuantitatif,264,54,557.221,693.19,372.52,66.76
2266,Kemampuan Memahami Bacaan dan Menulis,298,62,543.334,659.88,365.0,54.78
2266,Kemampuan Penalaran Umum,273,59,535.149,622.16,408.7,38.03
2266,Pengetahuan dan Pemahaman Umum,241,58,539.834,662.27,360.44,55.53
2267,Kemampuan Kuantitatif,218,35,564.463,706.42,407.8,71.0
2267,Kemampuan Memahami Bacaan dan Menulis,259,47,547.015,666.43,396.79,59.66
2267,Kemampuan Penalaran Umum,155,26,545.45,625.83,426.07,44.11
2267,Pengetahuan dan Pemahaman Umum,697,132,518.159,629.63,347.08,66.13
2268,Kemampuan Kuantitatif,216,8,564.72,702.97,417.22,64.5
2268,Kemampuan Memahami Bacaan dan Menulis,330,8,541.584,664.76,396.53,47.52
2268,Kemampuan Penalaran Umum,253,8,536.474,627.0,427.46,40.12
2268,Pengetahuan dan Pemahaman Umum,411,9,530.607,663.22,384.57,56.84
2269,Kemampuan Kuantitatif,281,2,554.505,706.87,425.79,70.04
2269,Kemampuan Memahami Bacaan dan Menulis,287,1,543.782,657.97,398.54,56.38
2269,Kemampuan Penalaran Umum,242,1,537.63,624.34,455.15,44.01
2269,Pengetahuan dan Pemahaman Umum,283,2,536.724,637.31,428.13,55.26
2270,Kemampuan Kuantitatif,289,37,554.406,711.34,359.83,68.32
2270,Kemampuan Memahami Bacaan dan Menulis,265,35,545.828,667.97,399.55,51.74
2270,Kemampuan Penalaran Umum,281,42,534.726,634.25,416.57,39.34
2270,Pengetahuan dan Pemahaman Umum,274,37,537.388,667.69,349.0,60.2
2271,Kemampuan Kuantitatif,397,67,542.858,699.14,376.05,70.75
2271,Kemampuan Memahami Bacaan dan Menulis,232,38,549.042,689.06,383.97,58.27
2271,Kemampuan Penalaran Umum,216,38,539.295,657.68,428.62,37.43
2271,Pengetahuan dan Pemahaman Umum,230,38,541.015,726.12,378.62,61.64
2272,Kemampuan Kuantitatif,240,50,560.767,708.37,379.22,73.88
2272,Kemampuan Memahami Bacaan dan Menulis,316,64,542.644,679.82,358.89,60.92
2272,Kemampuan Penalaran Umum,286,60,534.328,614.24,407.44,39.03
2272,Pengetahuan dan Pemahaman Umum,337,69,533.647,643.1,365.32,59.53
2273,Kemampuan Kuantitatif,327,2,550.193,690.27,396.47,64.97
2273,Kemampuan Memahami Bacaan dan Menulis,258,3,547.029,680.55,405.67,51.79
2273,Kemampuan Penalaran Umum,334,3,532.101,614.01,446.82,35.07
2273,Pengetahuan dan Pemahaman Umum,221,2,541.705,641.53,383.27,55.18
2274,Kemampuan Kuantitatif,272,34,555.603,702.08,382.09,68.42
2274,Kemampuan Memahami Bacaan dan Menulis,271,36,545.192,684.22,375.28,50.93
2274,Kemampuan Penalaran Umum,315,47,532.798,625.1,419.09,39.01
2274,Pengetahuan dan Pemahaman Umum,282,41,536.878,657.62,362.19,53.24
2275,Kemampuan Kuantitatif,353,30,547.104,681.98,403.45,57.96
2275,Kemampuan Memahami Bacaan dan Menulis,248,26,547.711,691.32,380.3,49.31
2275,Kemampuan Penalaran Umum,300,26,533.421,640.21,434.57,36.37
2275,Pengetahuan dan Pemahaman Umum,216,20,542.069,689.96,357.43,52.47
2276,Kemampuan Kuantitatif,221,9,563.878,711.34,375.39,76.15
2276,Kemampuan Memahami Bacaan dan Menulis,353,7,540.305,694.07,356.92,59.92
2276,Kemampuan Penalaran Umum,346,9,531.643,626.94,409.82,41.97
2276,Pengetahuan dan Pemahaman Umum,326,8,534.178,719.21,369.96,61.15
2277,Kemampuan Kuantitatif,317,1,551.831,719.83,383.42,81.79
2277,Kemampuan Memahami Bacaan dan Menulis,304,1,543.204,683.54,358.8,58.95
2277,Kemampuan Penalaran Umum,352,3,531.467,629.25,397.17,45.65
2277,Pengetahuan dan Pemahaman Umum,195,1,543.471,712.94,350.47,60.14
2278,Kemampuan Kuantitatif,285,21,554.447,713.51,376.11,75.73
2278,Kemampuan Memahami Bacaan dan Menulis,319,25,542.458,684.36,367.79,62.41
2278,Kemampuan Penalaran Umum,259,19,535.841,634.86,390.26,45.17
2278,Pengetahuan dan Pemahaman Umum,288,21,536.534,696.56,338.18,64.63
2279,Kemampuan Kuantitatif,366,53,545.771,701.12,398.72,71.14
2279,Kemampuan Memahami Bacaan dan Menulis,264,34,545.988,680.14,381.33,57.11
2279,Kemampuan Penalaran Umum,238,32,537.774,646.72,394.63,43.06
2279,Pengetahuan dan Pemahaman Umum,249,33,539.497,675.74,390.64,59.07
2280,Kemampuan Kuantitatif,308,63,552.605,703.25,387.81,69.4
2280,Kemampuan Memahami Bacaan dan Menulis,272,58,545.115,669.0,378.23,54.46
2280,Kemampuan Penalaran Umum,256,55,536.013,673.0,410.22,39.57
2280,Pengetahuan dan Pemahaman Umum,309,65,535.281,642.8,398.47,55.34
2281,Kemampuan Kuantitatif,239,41,560.792,706.45,387.93,82.19
2281,Kemampuan Memahami Bacaan dan Menulis,307,54,543.093,669.67,366.37,64.41
2281,Kemampuan Penalaran Umum,272,46,535.25,624.95,416.98,48.26
2281,Pengetahuan dan Pemahaman Umum,423,75,529.824,648.47,364.06,71.54
2282,Kemampuan Kuantitatif,318,45,551.516,710.62,390.06,69.07
2282,Kemampuan Memahami Bacaan dan Menulis,336,46,541.241,691.54,370.07,51.3
2282,Kemampuan Penalaran Umum,297,45,533.524,622.51,412.99,42.7
2282,Pengetahuan dan Pemahaman Umum,209,26,542.564,665.4,369.4,57.45
2283,Kemampuan Kuantitatif,215,3,564.729,690.62,392.15,70.81
2283,Kemampuan Memahami Bacaan dan Menulis,614,4,528.039,677.74,376.85,64.26
2283,Kemampuan Penalaran Umum,307,4,532.976,615.22,429.83,37.75
2283,Pengetahuan dan Pemahaman Umum,205,4,542.881,685.31,372.99,57.6
2284,Kemampuan Kuantitatif,295,22,554.033,699.72,395.93,68.55
2284,Kemampuan Memahami Bacaan dan Menulis,220,18,549.74,660.18,443.08,46.93
2284,Kemampuan Penalaran Umum,365,26,530.822,631.69,444.78,41.25
2284,Pengetahuan dan Pemahaman Umum,334,24,533.788,653.27,379.89,60.46
2285,Kemampuan Kuantitatif,320,48,551.013,692.78,413.03,77.51
2285,Kemampuan Memahami Bacaan dan Menulis,430,77,536.008,667.91,394.69,67.19
2285,Kemampuan Penalaran Umum,277,47,534.961,617.57,444.87,44.25
2285,Pengetahuan dan Pemahaman Umum,169,29,546.2,642.33,410.16,52.5
2286,Kemampuan Kuantitatif,288,36,554.418,703.84,378.12,69.71
2286,Kemampuan Memahami Bacaan dan Menulis,381,54,538.519,673.99,404.17,59.05
2286,Kemampuan Penalaran Umum,240,33,537.663,614.1,435.38,40.57
2286,Pengetahuan dan Pemahaman Umum,276,38,537.286,630.84,385.67,59.32
2287,Kemampuan Kuantitatif,330,47,549.769,713.03,378.86,69.83
2287,Kemampuan Memahami Bacaan dan Menulis,252,33,547.371,709.46,392.19,54.99
2287,Kemampuan Penalaran Umum,257,39,535.89,633.08,412.91,40.34
2287,Pengetahuan dan Pemahaman Umum,314,47,534.84,697.72,401.1,57.46
2288,Kemampuan Kuantitatif,309,64,552.479,712.07,378.08,69.84
2288,Kemampuan Memahami Bacaan dan Menulis,254,56,547.213,682.0,381.68,59.48
2288,Kemampuan Penalaran Umum,338,67,531.917,660.21,424.71,38.2
2288,Pengetahuan dan Pemahaman Umum,299,63,536.007,689.51,364.78,55.72
2289,Kemampuan Kuantitatif,238,39,560.841,684.83,381.79,65.21
2289,Kemampuan Memahami Bacaan dan Menulis,407,69,537.365,653.47,368.79,55.67
2289,Kemampuan Penalaran Umum,302,55,533.304,657.53,409.71,42.58
2289,Pengetahuan dan Pemahaman Umum,306,53,535.351,668.89,372.8,59.73
2290,Kemampuan Kuantitatif,300,40,553.491,694.92,390.2,68.26
2290,Kemampuan Memahami Bacaan dan Menulis,282,38,544.322,694.17,376.82,54.27
2290,Kemampuan Penalaran Umum,269,40,535.305,647.46,391.32,38.02
2290,Pengetahuan dan Pemahaman Umum,336,49,533.706,662.23,385.12,55.56
2291,Kemampuan Kuantitatif,354,51,546.792,699.85,374.84,64.22
2291,Kemampuan Memahami Bacaan dan Menulis,241,29,548.29,665.46,396.22,47.3
2291,Kemampuan Penalaran Umum,244,34,537.458,636.33,434.65,37.76
2291,Pengetahuan dan Pemahaman Umum,324,48,534.251,679.77,372.93,59.16
2292,Kemampuan Kuantitatif,290,58,554.309,710.25,368.34,68.15
2292,Kemampuan Memahami Bacaan dan Menulis,289,61,543.728,681.05,405.36,54.65
2292,Kemampuan Penalaran Umum,324,64,532.406,626.25,417.51,37.29
2292,Pengetahuan dan Pemahaman Umum,301,64,535.712,680.88,349.54,55.84
2293,Kemampuan Kuantitatif,306,61,552.843,686.69,405.37,65.94
2293,Kemampuan Memahami Bacaan dan Menulis,374,70,538.994,656.32,400.89,63.36
2293,Kemampuan Penalaran Umum,191,47,542.06,641.09,445.78,42.77
2293,Pengetahuan dan Pemahaman Umum,371,72,532.125,641.83,408.54,53.19
2294,Kemampuan Kuantitatif,276,26,554.987,705.73,387.77,55.26
2294,Kemampuan Memahami Bacaan dan Menulis,236,25,548.879,662.65,384.51,49.68
2294,Kemampuan Penalaran Umum,395,34,529.011,619.89,448.39,34.96
2294,Pengetahuan dan Pemahaman Umum,347,25,533.111,642.45,401.71,59.23
2295,Kemampuan Kuantitatif,279,4,554.68,713.45,396.21,71.73
2295,Kemampuan Memahami Bacaan dan Menulis,384,6,538.369,667.88,358.99,58.32
2295,Kemampuan Penalaran Umum,279,4,534.74,625.02,416.66,44.56
2295,Pengetahuan dan Pemahaman Umum,265,4,538.163,676.17,364.77,59.13
2296,Kemampuan Kuantitatif,416,74,540.157,704.04,387.77,77.05
2296,Kemampuan Memahami Bacaan dan Menulis,202,38,552.581,706.45,398.55,60.42
2296,Kemampuan Penalaran Umum,224,38,538.842,611.42,446.46,44.0
2296,Pengetahuan dan Pemahaman Umum,322,56,534.334,679.05,388.5,59.98
2297,Kemampuan Kuantitatif,232,18,562.191,681.75,421.15,67.9
2297,Kemampuan Memahami Bacaan dan Menulis,306,23,543.19,658.9,438.5,57.09
2297,Kemampuan Penalaran Umum,425,29,527.801,600.56,424.85,42.09
2297,Pengetahuan dan Pemahaman Umum,364,26,532.42,628.61,419.23,64.06
2298,Kemampuan Kuantitatif,291,2,554.275,713.06,378.31,75.42
2298,Kemampuan Memahami Bacaan dan Menulis,269,1,545.456,673.82,347.17,59.3
2298,Kemampuan Penalaran Umum,356,1,531.206,624.62,414.06,42.69
2298,Pengetahuan dan Pemahaman Umum,321,1,534.383,668.9,388.34,60.93
2299,Kemampuan Kuantitatif,280,20,554.548,689.74,405.57,66.28
2299,Kemampuan Memahami Bacaan dan Menulis,309,24,543.037,661.87,389.67,52.57
2299,Kemampuan Penalaran Umum,234,17,537.977,629.75,413.13,42.65
2299,Pengetahuan dan Pemahaman Umum,431,30,529.526,653.65,398.85,57.42
2300,Kemampuan Kuantitatif,341,29,548.443,697.35,379.37,72.75
2300,Kemampuan Memahami Bacaan dan Menulis,167,20,555.787,689.6,378.62,53.31
2300,Kemampuan Penalaran Umum,414,36,528.394,625.57,400.97,43.02
2300,Pengetahuan dan Pemahaman Umum,380,28,531.901,672.21,365.93,63.38
2301,Kemampuan Kuantitatif,253,1,559.629,713.94,395.78,71.54
2301,Kemampuan Memahami Bacaan dan Menulis,385,1,538.359,666.59,387.56,57.46
2301,Kemampuan Penalaran Umum,323,1,532.477,638.54,428.32,43.1
2301,Pengetahuan dan Pemahaman Umum,342,1,533.364,633.79,394.57,53.18
2302,Kemampuan Kuantitatif,410,71,541.757,667.92,380.77,82.67
2302,Kemampuan Memahami Bacaan dan Menulis,211,42,551.172,627.54,479.34,41.07
2302,Kemampuan Penalaran Umum,333,60,532.121,606.18,485.37,32.92
2302,Pengetahuan dan Pemahaman Umum,256,42,538.711,608.63,420.77,45.52
2303,Kemampuan Kuantitatif,391,59,543.142,694.64,388.85,66.13
2303,Kemampuan Memahami Bacaan dan Menulis,348,48,540.613,675.34,335.18,63.24
2303,Kemampuan Penalaran Umum,237,31,537.895,622.95,402.13,39.97
2303,Pengetahuan dan Pemahaman Umum,217,27,542.048,661.81,406.12,55.33
2304,Kemampuan Kuantitatif,271,25,555.798,698.21,405.38,64.8
2304,Kemampuan Memahami Bacaan dan Menulis,333,32,541.342,656.94,406.9,48.53
2304,Kemampuan Penalaran Umum,268,24,535.326,647.51,424.49,36.9
2304,Pengetahuan dan Pemahaman Umum,397,29,531.232,653.11,368.77,52.63
2305,Kemampuan Kuantitatif,323,52,550.462,699.79,378.79,64.37
2305,Kemampuan Memahami Bacaan dan Menulis,270,44,545.255,657.73,398.99,52.4
2305,Kemampuan Penalaran Umum,330,56,532.272,626.57,430.64,37.63
2305,Pengetahuan dan Pemahaman Umum,307,54,535.342,671.66,375.31,52.13
2306,Kemampuan Kuantitatif,294,38,554.117,699.38,375.07,67.88
2306,Kemampuan Memahami Bacaan dan Menulis,297,41,543.352,644.45,360.96,53.59
2306,Kemampuan Penalaran Umum,314,46,532.803,622.66,425.37,37.86
2306,Pengetahuan dan Pemahaman Umum,352,51,532.904,665.28,376.04,55.76
2307,Kemampuan Kuantitatif,347,56,547.383,694.16,370.16,89.4
2307,Kemampuan Memahami Bacaan dan Menulis,157,26,556.438,661.02,447.49,61.02
2307,Kemampuan Penalaran Umum,295,52,533.619,616.05,459.9,48.9
2307,Pengetahuan dan Pemahaman Umum,509,96,525.656,605.49,399.34,59.0
2308,Kemampuan Kuantitatif,319,50,551.363,697.88,392.39,69.38
2308,Kemampuan Memahami Bacaan dan Menulis,373,67,539.099,683.72,380.6,58.84
2308,Kemampuan Penalaran Umum,284,49,534.374,608.27,424.1,38.5
2308,Pengetahuan dan Pemahaman Umum,270,48,537.961,646.68,397.56,50.19
2309,Kemampuan Kuantitatif,328,53,549.965,716.73,370.26,75.5
2309,Kemampuan Memahami Bacaan dan Menulis,275,46,545.029,674.48,340.24,55.29
2309,Kemampuan Penalaran Umum,348,60,531.612,625.32,421.09,39.79
2309,Pengetahuan dan Pemahaman Umum,305,53,535.385,676.5,346.6,59.61
2310,Kemampuan Kuantitatif,267,55,556.862,707.05,360.91,67.69
2310,Kemampuan Memahami Bacaan dan Menulis,372,69,539.223,649.32,339.73,55.64
2310,Kemampuan Penalaran Umum,298,61,533.502,635.33,413.63,39.2
2310,Pengetahuan dan Pemahaman Umum,374,73,532.082,681.51,388.17,50.37
2311,Kemampuan Kuantitatif,332,51,549.676,691.63,390.7,65.69
2311,Kemampuan Memahami Bacaan dan Menulis,125,20,559.584,670.61,352.53,63.37
2311,Kemampuan Penalaran Umum,354,65,531.342,587.07,451.02,33.96
2311,Pengetahuan dan Pemahaman Umum,644,121,520.464,623.52,397.62,61.01
2312,Kemampuan Kuantitatif,257,47,559.221,717.3,359.75,72.6
2312,Kemampuan Memahami Bacaan dan Menulis,383,69,538.418,668.95,358.65,54.86
2312,Kemampuan Penalaran Umum,412,69,528.421,639.22,418.32,40.2
2312,Pengetahuan dan Pemahaman Umum,319,55,534.46,682.63,351.23,52.86
2313,Kemampuan Kuantitatif,690,41,522.223,664.73,400.62,76.65
2313,Kemampuan Memahami Bacaan dan Menulis,190,17,553.989,643.77,461.25,45.09
2313,Kemampuan Penalaran Umum,276,20,534.969,614.72,460.41,37.42
2313,Pengetahuan dan Pemahaman Umum,138,15,549.089,706.33,472.73,52.21
2314,Kemampuan Kuantitatif,414,73,540.671,685.3,366.55,78.7
2314,Kemampuan Memahami Bacaan dan Menulis,156,25,556.453,665.15,407.33,56.13
2314,Kemampuan Penalaran Umum,540,109,522.463,599.88,417.91,49.92
2314,Pengetahuan dan Pemahaman Umum,239,39,540.016,601.72,466.76,47.04
2315,Kemampuan Kuantitatif,369,69,545.514,668.51,360.63,90.34
2315,Kemampuan Memahami Bacaan dan Menulis,229,51,549.29,666.76,386.15,66.28
2315,Kemampuan Penalaran Umum,433,74,527.481,593.78,454.66,41.0
2315,Pengetahuan dan Pemahaman Umum,280,61,537.066,643.91,406.36,68.79
2316,Kemampuan Kuantitatif,310,65,552.468,697.4,372.56,64.38
2316,Kemampuan Memahami Bacaan dan Menulis,356,67,540.209,688.42,386.45,56.91
2316,Kemampuan Penalaran Umum,322,63,532.531,644.7,415.52,37.08
2316,Pengetahuan dan Pemahaman Umum,329,67,533.985,649.84,378.09,52.54
