data_key,detail,urut_nasional,urut_provinsi,rerata,nilai_tertinggi,nilai_terendah,standar_deviasi
2017,Pengetahuan dan Pemahaman Umum,95,12,553.712,666.01,388.56,79.45
2018,Kemampuan Kuantitatif,23,3,614.068,720.27,451.71,55.45
2018,Kemampuan Memahami Bacaan dan Menulis,13,3,583.794,685.4,438.51,49.49
2018,Kemampuan Penalaran Umum,18,2,567.954,647.38,469.07,34.83
2018,Pengetahuan dan Pemahaman Umum,22,2,568.89,692.49,370.82,68.66
2019,Kemampuan Kuantitatif,17,3,618.975,721.81,431.31,73.75
2019,Kemampuan Memahami Bacaan dan Menulis,18,2,581.219,663.21,419.74,52.5
2019,Kemampuan Penalaran Umum,28,3,564.52,636.33,440.3,45.2
2019,Pengetahuan dan Pemahaman Umum,29,4,565.56,659.52,443.01,61.82
2020,Kemampuan Kuantitatif,12,5,621.523,705.64,436.4,57.05
2020,Kemampuan Memahami Bacaan dan Menulis,62,16,568.756,646.7,441.55,45.23
2020,Kemampuan Penalaran Umum,24,11,566.254,619.72,489.19,33.91
2020,Pengetahuan dan Pemahaman Umum,19,9,571.746,679.7,369.13,56.75
2021,Kemampuan Kuantitatif,31,13,607.037,697.12,376.48,51.38
2021,Kemampuan Memahami Bacaan dan Menulis,32,11,577.367,691.89,349.63,53.38
2021,Kemampuan Penalaran Umum,10,4,572.064,638.99,490.02,31.11
2021,Pengetahuan dan Pemahaman Umum,20,10,569.888,667.1,402.53,60.57
2022,Kemampuan Kuantitatif,15,7,619.486,717.68,482.89,48.44
2022,Kemampuan Memahami Bacaan dan Menulis,37,12,575.639,660.78,403.78,56.61
2022,Kemampuan Penalaran Umum,22,10,567.101,636.98,494.99,35.74
2022,Pengetahuan dan Pemahaman Umum,37,18,564.113,696.91,402.88,68.98
2023,Kemampuan Kuantitatif,11,2,621.727,712.06,447.88,59.41
2023,Kemampuan Memahami Bacaan dan Menulis,39,5,574.522,665.92,444.65,48.13
2023,Kemampuan Penalaran Umum,43,6,560.441,622.53,464.73,33.88
2023,Pengetahuan dan Pemahaman Umum,26,2,567.802,687.57,397.46,66.79
2024,Kemampuan Kuantitatif,27,3,611.092,721.15,449.96,60.41
2024,Kemampuan Memahami Bacaan dan Menulis,76,9,565.868,667.33,426.04,57.13
2024,Kemampuan Penalaran Umum,16,4,568.668,637.28,462.38,33.95
2024,Pengetahuan dan Pemahaman Umum,10,3,577.206,736.96,374.63,66.46
2025,Kemampuan Kuantitatif,44,18,602.208,712.95,452.07,67.0
2025,Kemampuan Memahami Bacaan dan Menulis,31,10,577.885,686.23,395.14,56.37
2025,Kemampuan Penalaran Umum,20,8,567.654,635.38,456.12,34.45
2025,Pengetahuan dan Pemahaman Umum,16,8,574.013,673.15,395.33,61.97
2026,Kemampuan Kuantitatif,28,11,608.429,699.84,477.14,66.74
2026,Kemampuan Memahami Bacaan dan Menulis,60,15,568.985,673.46,362.5,60.91
2026,Kemampuan Penalaran Umum,38,17,560.97,613.37,499.54,35.11
2026,Pengetahuan dan Pemahaman Umum,6,4,582.278,653.56,449.53,53.29
2027,Kemampuan Kuantitatif,41,4,603.449,712.21,417.22,62.93
2027,Kemampuan Memahami Bacaan dan Menulis,10,3,586.347,691.13,438.98,45.08
2027,Kemampuan Penalaran Umum,23,5,566.604,636.07,470.03,35.61
2027,Pengetahuan dan Pemahaman Umum,46,6,562.948,714.5,351.63,74.57
2028,Kemampuan Kuantitatif,51,21,599.841,712.95,379.37,69.56
2028,Kemampuan Memahami Bacaan dan Menulis,24,7,579.441,686.48,408.15,57.27
2028,Kemampuan Penalaran Umum,17,7,568.207,636.53,484.4,32.79
2028,Pengetahuan dan Pemahaman Umum,25,13,568.512,685.62,366.47,62.29
2029,Kemampuan Kuantitatif,30,12,607.08,710.63,436.01,59.58
2029,Kemampuan Memahami Bacaan dan Menulis,27,9,578.924,685.71,403.5,49.62
2029,Kemampuan Penalaran Umum,39,18,560.889,638.86,463.43,35.48
2029,Pengetahuan dan Pemahaman Umum,34,16,564.366,676.16,386.21,66.28
2030,Kemampuan Kuantitatif,49,5,600.623,700.61,358.94,76.51
2030,Kemampuan Memahami Bacaan dan Menulis,104,14,562.46,676.42,347.66,67.1
2030,Kemampuan Penalaran Umum,15,3,568.993,649.13,410.49,49.83
2030,Pengetahuan dan Pemahaman Umum,7,2,578.99,676.61,332.04,76.97
2031,Kemampuan Kuantitatif,47,4,601.7,710.36,433.19,58.31
2031,Kemampuan Memahami Bacaan dan Menulis,16,4,581.653,713.13,457.69,45.23
2031,Kemampuan Penalaran Umum,33,4,562.708,638.09,474.54,34.0
2031,Pengetahuan dan Pemahaman Umum,52,3,562.25,743.88,350.86,68.93
2032,Kemampuan Kuantitatif,78,6,590.916,703.25,449.59,72.9
2032,Kemampuan Memahami Bacaan dan Menulis,30,6,578.029,669.59,394.27,54.47
2032,Kemampuan Penalaran Umum,36,6,561.638,618.05,510.95,27.47
2032,Pengetahuan dan Pemahaman Umum,15,4,574.846,673.34,414.57,63.44
2033,Kemampuan Kuantitatif,32,2,606.202,698.41,466.6,55.29
2033,Kemampuan Memahami Bacaan dan Menulis,23,1,579.854,708.05,444.31,47.31
2033,Kemampuan Penalaran Umum,27,1,564.847,646.88,451.18,33.35
2033,Pengetahuan dan Pemahaman Umum,96,9,553.554,687.81,383.01,61.07
2034,Kemampuan Kuantitatif,42,4,603.318,710.42,370.37,61.82
2034,Kemampuan Memahami Bacaan dan Menulis,33,2,576.84,689.56,371.63,51.58
2034,Kemampuan Penalaran Umum,50,2,558.93,635.56,371.45,39.86
2034,Pengetahuan dan Pemahaman Umum,35,1,564.245,714.02,352.5,65.57
2035,Kemampuan Kuantitatif,33,3,605.858,719.36,395.44,60.23
2035,Kemampuan Memahami Bacaan dan Menulis,40,3,574.35,688.79,356.39,57.64
2035,Kemampuan Penalaran Umum,51,3,558.597,627.94,436.24,36.19
2035,Pengetahuan dan Pemahaman Umum,40,2,563.879,685.74,366.89,68.54
2036,Kemampuan Kuantitatif,25,1,612.347,706.87,390.06,57.14
2036,Kemampuan Memahami Bacaan dan Menulis,63,1,568.053,684.74,413.32,51.23
2036,Kemampuan Penalaran Umum,35,1,562.406,639.57,449.45,35.28
2036,Pengetahuan dan Pemahaman Umum,64,1,559.345,724.7,346.28,68.4
2037,Kemampuan Kuantitatif,26,4,611.631,699.92,499.83,52.03
2037,Kemampuan Memahami Bacaan dan Menulis,49,10,571.685,676.72,482.1,55.27
2037,Kemampuan Penalaran Umum,88,13,552.404,614.7,471.95,39.41
2037,Pengetahuan dan Pemahaman Umum,31,5,565.19,706.04,374.33,75.76
2038,Kemampuan Kuantitatif,79,7,590.801,699.38,418.1,73.58
2038,Kemampuan Memahami Bacaan dan Menulis,14,4,583.324,681.14,448.05,48.55
2038,Kemampuan Penalaran Umum,40,7,560.885,618.98,433.26,39.12
2038,Pengetahuan dan Pemahaman Umum,30,5,565.457,672.74,409.76,59.43
2039,Kemampuan Kuantitatif,59,6,596.608,731.27,399.07,68.13
2039,Kemampuan Memahami Bacaan dan Menulis,29,3,578.411,728.82,404.59,51.22
2039,Kemampuan Penalaran Umum,31,4,563.128,656.53,420.99,41.24
2039,Pengetahuan dan Pemahaman Umum,55,10,561.614,699.46,338.39,65.71
2040,Kemampuan Kuantitatif,45,5,602.092,718.27,395.59,64.79
2040,Kemampuan Memahami Bacaan dan Menulis,36,4,575.883,699.61,407.36,49.07
2040,Kemampuan Penalaran Umum,44,4,560.246,637.73,445.45,36.87
2040,Pengetahuan dan Pemahaman Umum,59,7,561.005,719.12,367.92,69.32
2041,Kemampuan Kuantitatif,52,5,598.942,715.87,385.23,57.31
2041,Kemampuan Memahami Bacaan dan Menulis,17,5,581.52,699.61,431.77,49.28
2041,Kemampuan Penalaran Umum,47,7,559.836,645.81,446.73,36.87
